Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
34.7,26.2,34.1,26.2,18.2,15.7,12.9,13.3,16.9,17.2,17.8,25.4
21.5,29.4,36.4,20.2,18.9,14.8,15.3,13.3,13.2,25.4,16.2,24.0
19.0,21.4,29.5,20.5,22.6,15.6,15.9,13.8,13.8,16.9,20.7,25.4
17.4,26.4,33.9,21.7,17.4,15.2,10.9,13.8,14.8,15.4,27.1,30.5
24.2,24.6,23.4,29.7,21.5,14.1,12.7,14.5,17.5,15.6,15.5,22.1
24.7,28.0,34.4,14.8,26.2,16.0,12.6,12.6,19.3,24.8,21.0,22.4
26.6,33.9,27.6,17.7,25.9,16.0,13.1,15.2,20.2,24.6,27.7,26.0
25.6,27.3,32.7,20.3,15.6,16.2,12.7,13.8,23.0,18.1,19.1,24.1
27.8,29.1,30.2,20.3,18.5,17.0,13.7,17.7,18.0,26.4,18.8,17.5
33.4,28.2,22.6,21.8,16.7,14.4,13.3,16.1,14.1,15.3,18.6,19.5
37.9,27.6,31.0,20.3,16.2,12.2,17.5,13.8,17.0,13.9,22.1,22.6
31.4,29.2,27.5,20.2,19.1,13.1,14.1,14.8,12.5,13.0,26.2,31.1
37.5,36.2,27.2,19.8,19.8,14.5,9.6,15.6,17.2,16.8,19.0,36.6
18.8,25.3,23.2,25.4,22.8,14.3,13.1,16.7,17.5,22.2,17.7,21.2
22.4,25.5,21.0,26.6,20.6,15.1,13.4,17.7,15.2,23.4,17.6,22.7
25.9,21.1,26.2,21.1,20.3,11.9,14.9,20.9,15.8,25.0,23.1,27.8
30.3,21.5,31.9,18.7,17.3,16.2,15.8,14.8,19.2,17.4,30.2,20.8
36.4,22.8,16.2,24.1,18.1,12.1,19.2,20.6,11.7,16.7,21.7,19.8
36.9,26.3,18.7,27.2,18.6,12.7,14.8,18.4,15.4,16.1,23.9,30.3
25.8,22.5,20.3,27.6,17.8,12.9,16.2,12.3,19.2,22.2,29.9,21.9
28.7,27.3,21.6,24.6,18.0,15.1,15.9,15.2,16.0,24.9,37.0,21.5
21.0,28.8,23.3,18.4,23.0,15.0,16.1,14.2,14.1,15.2,16.0,25.9
25.2,40.6,28.8,19.0,15.0,16.3,8.9,14.3,17.3,14.7,17.0,33.0
24.3,33.4,22.4,21.8,15.0,8.0,12.4,14.1,21.0,16.9,17.6,35.8
26.1,28.8,23.0,24.2,13.9,11.3,13.5,13.3,15.3,25.3,17.5,36.6
24.9,24.4,21.3,25.1,11.6,11.8,11.3,12.9,16.6,22.7,17.6,32.1
30.3,26.9,19.2,26.9,13.6,11.4,12.8,14.9,15.2,17.4,20.4,26.8
30.7,25.6,17.4,22.9,14.0,14.8,13.0,17.2,18.7,21.1,21.6,32.7
16.9,27.0,17.3,18.2,14.3,16.3,14.2,18.7,17.8,21.6,24.4,35.1
24.3,,17.8,25.7,14.6,15.3,15.9,14.0,15.2,27.7,24.9,25.5
25.2,,24.3,,15.0,,15.5,18.0,,16.8,,25.8
