Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2.7,28.0,19.6,16.4,8.8,3.3,4.4,5.6,2.9,16.7,20.0,22.1
26.9,29.8,19.0,4.5,4.6,4.8,7.4,9.7,14.1,8.1,20.3,29.8
28.4,8.2,23.2,4.1,8.7,4.0,8.7,11.5,13.9,18.0,25.9,5.8
11.2,26.6,21.2,8.3,7.6,4.9,7.0,11.5,15.6,21.1,17.1,28.4
25.3,28.7,3.2,12.0,4.9,8.3,4.3,7.2,16.4,19.9,25.1,4.6
25.9,27.6,23.3,14.5,8.2,7.2,5.0,7.5,15.5,3.1,27.9,14.1
23.6,24.6,13.0,11.0,9.1,5.7,8.4,3.9,17.0,12.8,28.6,7.5
32.6,27.7,21.5,3.7,11.8,6.7,8.3,6.8,14.6,9.4,26.8,27.1
30.9,26.8,22.3,3.4,7.3,7.5,3.9,8.2,6.5,21.1,29.5,27.1
29.8,28.7,13.9,3.0,4.5,7.7,7.2,9.8,12.9,10.0,23.9,8.1
20.6,27.8,3.8,3.4,9.2,7.2,7.3,9.4,14.0,17.6,24.0,25.0
24.9,21.1,20.1,11.2,11.0,4.5,7.0,8.3,12.1,22.1,28.4,33.2
32.3,8.4,20.9,14.1,10.3,7.5,8.0,11.2,17.8,15.3,22.7,32.8
30.9,9.9,20.9,13.0,10.3,4.5,5.5,9.2,17.4,20.4,11.0,24.5
22.8,11.5,9.1,13.5,10.2,8.1,3.1,12.8,8.3,15.5,12.1,28.7
24.4,22.2,11.1,12.9,8.8,5.7,8.3,9.0,3.4,10.1,11.0,27.8
29.9,23.9,7.7,14.3,4.2,5.6,8.2,8.5,13.7,25.4,18.6,30.5
16.3,25.7,11.1,7.4,7.3,4.2,9.3,6.3,12.1,16.3,20.9,18.2
24.3,12.5,20.4,8.9,8.5,6.1,6.4,6.2,13.3,15.5,28.3,28.8
22.5,21.1,20.7,8.2,4.7,6.6,8.7,7.1,15.8,26.5,2.9,32.2
23.1,16.4,10.8,10.1,9.4,6.5,8.5,9.6,18.2,25.8,25.6,31.0
31.3,8.8,12.9,2.7,6.7,6.4,6.8,13.3,20.2,23.1,14.0,17.6
31.1,25.7,7.4,11.1,5.9,4.4,8.6,13.4,18.9,11.5,26.3,8.4
10.9,23.6,6.3,11.1,6.5,4.7,4.9,7.5,11.1,22.5,2.2,33.5
27.7,17.7,15.9,13.9,8.2,5.0,6.7,9.4,10.2,17.7,22.4,32.4
31.3,16.9,13.3,4.1,4.4,6.1,3.6,12.9,16.0,18.3,10.3,32.1
30.7,20.1,7.5,12.7,3.5,5.1,9.6,14.6,18.6,18.4,28.3,33.9
29.7,24.9,10.5,9.3,4.5,6.1,10.4,13.1,19.2,12.9,28.7,31.5
26.3,,16.3,2.6,4.9,4.1,5.6,9.4,19.0,21.5,29.7,12.7
28.1,,15.2,10.0,9.1,5.7,7.2,15.1,12.8,24.2,28.6,27.1
26.8,,16.7,,5.3,,8.7,14.4,,22.7,,32.7
