Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
25.3,31.6,24.0,33.7,14.7,14.6,13.2,10.0,14.2,16.7,18.1,28.6
22.8,39.5,22.7,24.2,14.2,15.4,15.8,12.0,13.9,17.8,17.3,26.6
23.0,36.9,25.3,17.7,16.2,16.6,12.2,13.6,13.8,18.5,23.6,23.8
21.6,26.9,34.2,19.3,13.1,17.6,11.1,14.1,14.7,25.5,29.2,27.1
27.4,31.1,22.3,24.6,16.9,15.1,14.7,15.9,15.4,18.3,17.6,20.3
20.3,35.6,20.8,23.5,14.7,14.9,13.4,15.5,19.5,25.1,23.3,23.6
19.9,37.8,22.5,25.1,15.0,16.3,14.9,12.9,20.3,18.0,32.0,17.9
27.8,42.5,28.0,21.8,17.9,13.9,14.1,15.7,20.8,19.9,35.9,21.5
33.1,41.4,33.2,17.5,17.2,14.4,10.3,13.6,19.4,22.7,19.4,21.5
35.3,23.9,36.2,18.2,17.0,18.5,14.4,12.0,19.1,24.0,19.8,20.3
23.0,26.8,32.5,17.4,19.1,16.3,14.3,11.6,16.2,20.8,18.2,21.1
23.5,27.5,21.0,21.7,18.7,15.8,10.8,11.9,14.4,31.3,25.8,26.7
32.2,26.5,23.3,20.5,20.4,16.5,13.4,13.7,18.3,15.5,34.6,30.7
43.4,26.9,27.6,20.6,20.4,15.4,12.7,14.0,20.2,15.4,20.1,26.5
43.2,29.0,30.4,20.6,21.3,14.8,11.9,16.8,17.9,16.1,17.2,24.4
43.5,22.8,22.0,22.6,23.0,16.3,14.1,12.7,14.0,15.8,19.9,34.6
43.9,25.0,25.8,24.3,19.2,14.9,11.1,14.2,15.4,18.4,21.6,22.5
25.1,30.9,25.5,18.6,20.5,13.9,12.5,12.9,13.2,24.2,20.3,25.4
22.4,26.8,21.8,16.8,22.9,11.4,12.8,12.6,15.6,28.5,30.0,20.3
25.0,21.0,31.6,18.7,21.5,14.8,13.4,12.6,15.9,20.7,29.8,24.0
22.5,19.7,25.3,19.0,22.8,15.5,13.1,17.3,16.4,27.9,23.0,34.2
23.5,20.0,19.1,16.8,19.9,15.4,11.4,19.3,22.4,31.8,30.9,25.1
32.6,23.9,17.4,18.8,20.3,14.6,12.6,19.5,24.7,20.7,24.5,27.8
21.6,26.3,18.6,17.2,17.4,13.7,14.3,16.3,23.4,31.8,20.6,22.1
20.3,36.8,24.3,20.2,19.3,14.8,16.3,15.4,15.3,20.7,22.2,25.1
27.3,21.9,27.0,19.2,20.9,15.8,15.2,18.1,17.7,24.9,18.3,19.9
35.5,21.3,25.7,16.4,19.8,13.6,16.0,19.0,22.3,20.2,19.3,22.9
42.6,23.2,21.3,21.4,18.8,13.0,15.9,20.2,26.9,20.6,20.6,32.3
23.8,,23.4,18.8,15.7,11.8,16.1,14.8,21.8,23.0,25.3,29.0
30.1,,25.7,16.1,16.8,13.1,18.6,20.5,24.5,21.8,35.2,25.0
27.4,,31.4,,17.6,,18.8,20.8,,32.1,,25.6
