Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,0,0.8,8.4,0.6,0,0,0,0,0,0.2
0,0,0,0,19.2,0,0,0.8,0.8,0,17.0,1.8
0,0,0,0,0.2,12.6,0.6,0.4,1.0,0,3.8,2.6
0,0,0,0,0.6,2.4,0,0.8,0.2,0,2.2,0.2
0.4,0,0,0,0.6,2.2,0,0,0,2.0,10.4,0
0,0,1.2,0,0.6,1.0,0,0.2,1.2,0,0,0
0,8.6,0.2,0,0,0.2,0,0,5.2,0.2,1.0,0
0,0,0.2,0,13.0,0,10.0,17.4,1.8,,9.4,0
0,0.4,0,4.4,1.0,0.2,0.2,14.4,7.8,0.8,5.4,0
0,1.0,0,0.8,43.8,4.2,0.6,5.8,0.2,0,1.0,0
0,0,2.0,0,13.0,0,11.0,13.8,0,0,0,0
0,0,0.6,0,0.2,3.6,4.6,1.8,0,0,0.2,0
0,1.8,0.8,0,0.2,18.8,4.8,1.0,0,0,3.6,0
0,0.4,0,0,0,3.2,2.0,0,0,0,1.2,0
0,0.2,0,0,0,2.0,0.4,0,2.6,0.2,0,0
0,0,0,0,0,0.2,3.0,0.2,15.4,0.6,0.8,0
0,0,0,0,0.2,0.2,0.8,3.4,0.4,10.6,0,0
1.6,0,0,0,0,3.6,2.6,0,0,5.8,0.2,0
1.8,0,0,0,0,1.8,0.6,5.2,0,2.4,0,0
0,0,0,0,1.4,0,0,1.4,0,0.8,0,0
0,0,0,0,0.6,0.2,0,1.6,0,0,0,0
0,0,0,0,0.2,0,0,1.8,7.2,0.2,0,0
0,0,0,0,0,0.4,1.8,0,1.6,0.2,0,0
0,0,0,4.0,1.6,0.2,3.6,0,0.8,0,0,0
0,0,1.4,0.2,0.2,0,0.8,0.8,0,0,0,0
0,0,0.4,2.2,3.4,0,0,0.6,0.2,1.8,1.6,0
0,0,0,0.4,12.0,0,0.4,0,0,1.4,2.8,0
0,0,0,0.4,5.0,0,0,0,0,3.0,0,0
0,,0,1.2,3.6,14.4,2.0,4.0,0.2,0,0,0
0,,2.0,0,7.6,25.4,0.2,0,0,0,0.6,0
0.2,,6.8,,1.8,,0,0.2,,0,,0.6
