Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,9.0,15.9,11.3,4.9,2.4,1.8,9.0,10.3,3.3,10.7,9.5
,11.7,13.0,13.8,10.6,2.4,0,4.3,3.0,9.8,15.5,
14.2,15.4,13.3,13.8,11.2,2.9,5.3,8.5,3.5,14.6,12.8,13.3
12.6,13.4,16.6,11.2,11.0,3.9,11.4,7.8,1.8,10.1,8.9,13.1
13.3,15.6,12.0,10.8,11.4,7.1,12.3,10.5,6.0,8.3,13.8,11.1
16.0,,10.2,11.4,11.0,2.6,10.8,9.3,,7.5,15.3,11.6
17.3,16.3,12.3,9.1,12.1,6.3,8.8,7.4,8.3,6.5,11.2,24.6
15.9,20.4,12.4,9.0,12.9,12.3,8.9,9.3,4.5,10.5,8.9,21.5
14.9,19.5,11.8,15.7,7.5,10.1,9.1,5.5,9.9,,8.7,15.7
11.8,16.3,12.6,13.7,8.7,2.7,9.0,8.5,11.9,9.1,9.0,15.8
13.0,17.1,18.2,17.5,8.5,1.6,5.0,8.1,6.6,8.0,8.1,11.6
20.7,16.2,16.1,13.5,11.7,6.4,4.7,5.3,10.7,5.7,8.8,
16.1,11.8,14.8,10.2,13.1,9.7,4.5,7.5,7.8,6.6,17.1,17.1
12.5,17.3,12.0,13.5,4.6,8.2,4.1,10.3,8.5,10.3,14.5,16.0
14.8,12.9,12.9,7.9,8.4,9.0,6.4,11.7,9.8,15.5,12.6,17.4
11.6,15.8,10.1,12.7,6.7,7.3,7.9,8.5,5.4,19.2,6.5,
11.1,11.1,14.1,13.2,11.6,7.7,8.0,7.0,6.5,15.3,7.1,15.0
14.7,12.8,20.7,4.1,12.3,9.8,6.6,8.4,11.7,,8.9,16.0
20.3,17.2,11.8,9.2,10.8,0.6,8.5,6.3,8.1,11.0,10.8,16.7
18.2,14.3,14.7,8.1,11.5,2.1,7.1,6.1,4.3,,20.5,17.5
20.7,13.2,13.3,9.6,11.9,2.7,6.2,8.1,8.4,8.3,12.6,15.6
19.9,17.3,10.9,11.0,,4.7,8.0,8.0,6.0,7.7,9.6,13.1
,20.8,12.2,10.1,12.4,6.7,8.5,2.8,10.2,11.3,10.8,10.4
13.4,21.9,17.8,12.1,12.8,7.8,8.9,1.9,1.7,9.0,11.1,13.2
16.0,15.0,17.5,15.8,9.0,9.5,7.8,2.3,6.6,5.2,13.0,
19.2,14.4,10.9,11.6,3.4,7.7,7.2,4.6,2.3,9.6,10.1,12.2
20.9,12.8,9.0,10.0,6.4,1.8,9.2,4.8,6.9,10.3,12.1,14.8
21.6,20.2,11.6,5.4,13.3,2.4,6.6,1.1,10.2,7.3,13.6,22.0
28.5,,15.4,9.7,13.3,1.9,10.8,-1.6,6.4,6.8,13.2,20.2
15.4,,12.6,7.1,8.3,8.8,7.8,1.7,7.2,7.5,,17.4
14.8,,14.2,,9.6,,8.7,8.6,,11.8,,16.7
