Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
25.3,22.5,20.5,27.7,23.4,13.3,14.7,14.8,13.4,23.3,34.3,31.7
21.8,22.1,22.8,20.9,23.2,13.6,14.6,16.1,12.3,25.8,31.6,19.5
21.0,28.1,32.7,19.8,24.4,13.8,14.3,18.4,13.1,18.1,20.9,23.6
23.6,25.7,21.0,20.6,17.2,14.4,17.1,15.3,19.5,14.6,20.9,20.5
30.7,25.7,21.1,18.7,21.6,15.0,18.7,17.6,20.2,20.5,28.6,25.2
41.7,29.9,27.6,21.2,21.7,19.1,15.2,13.8,20.6,23.8,21.4,35.5
21.8,37.4,28.5,21.6,19.5,17.8,12.9,14.8,15.1,24.7,17.2,38.0
21.9,27.5,30.5,29.9,17.9,13.6,13.9,16.0,17.5,28.2,17.0,30.3
22.5,24.9,28.8,25.7,18.4,15.6,13.8,15.4,18.1,17.9,20.0,20.1
25.6,30.3,35.1,28.8,12.8,15.3,11.5,20.0,18.0,16.5,20.3,20.6
34.5,21.2,22.8,27.3,15.1,17.6,11.6,14.7,24.2,20.7,19.6,23.6
30.0,23.6,20.9,26.5,16.9,16.6,11.3,14.8,18.5,22.7,30.2,33.6
20.9,29.0,20.5,25.9,16.2,14.1,13.9,14.9,19.7,24.9,30.5,21.1
19.5,23.3,21.3,16.1,15.9,14.5,15.5,16.7,22.7,27.3,17.3,22.7
20.9,24.2,20.8,19.1,14.6,14.0,13.8,18.4,13.7,27.5,18.1,24.8
26.9,22.2,24.4,21.0,14.3,13.1,12.6,14.7,14.0,23.1,19.0,23.5
30.3,25.3,32.0,16.6,15.0,13.1,17.5,15.9,18.1,22.6,18.1,21.8
40.0,24.0,23.1,19.4,17.7,12.0,15.2,13.8,20.3,20.7,26.6,20.8
40.3,25.4,28.0,22.3,15.5,14.5,17.6,11.9,14.7,27.4,30.9,26.9
24.6,29.5,19.2,20.2,16.2,15.3,12.1,12.4,17.4,16.1,27.6,21.2
28.2,29.3,25.1,22.8,16.7,15.1,14.0,12.4,18.9,19.2,23.2,20.9
23.9,31.0,28.1,20.4,17.0,15.0,14.8,14.0,17.3,27.0,16.4,19.1
23.6,33.5,29.4,26.9,15.3,12.8,15.4,16.0,13.7,18.8,14.5,26.9
23.3,31.6,24.2,24.6,16.1,13.1,15.6,15.4,14.9,15.5,16.9,34.2
26.6,19.8,25.4,20.1,14.9,12.6,15.7,15.2,13.6,19.5,18.8,23.9
28.4,26.5,18.5,17.5,20.5,14.1,15.1,14.7,17.6,18.3,18.6,23.8
33.2,31.3,22.6,17.8,20.7,11.2,19.5,12.9,24.2,19.6,20.0,37.4
38.1,30.9,30.3,18.3,20.5,10.6,18.6,11.2,15.2,15.9,20.8,36.4
33.5,,21.8,18.0,17.9,12.5,14.6,12.5,14.0,17.0,18.7,23.9
21.0,,23.3,19.6,15.1,14.2,12.6,16.7,16.5,25.2,20.8,22.7
19.1,,22.4,,14.8,,16.2,16.0,,19.5,,23.5
