Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
26.6,22.5,21.5,28.6,23.9,13.8,14.9,14.3,15.8,23.9,34.5,31.5
23.0,23.2,24.3,21.1,23.4,13.9,13.7,15.4,12.6,25.8,32.1,20.6
22.5,28.3,34.3,20.7,24.2,13.6,13.6,18.1,13.5,18.8,22.2,23.5
24.9,27.9,22.3,23.1,17.0,14.8,16.2,14.7,19.5,16.1,23.4,20.6
30.5,27.7,21.6,20.1,21.2,15.3,17.9,16.7,19.8,20.1,28.8,25.1
41.9,30.5,27.3,21.4,21.5,19.1,14.5,14.0,20.1,24.7,22.4,35.3
21.5,37.8,29.9,22.4,19.2,16.4,12.4,14.5,14.5,26.1,17.6,37.8
24.1,29.2,31.8,30.9,18.6,12.7,14.2,16.1,17.2,28.9,18.5,30.6
23.8,27.2,31.1,26.4,18.5,15.8,14.0,14.2,18.5,17.2,21.0,20.5
26.6,30.7,36.3,28.0,12.9,15.8,10.8,19.4,17.7,17.0,20.9,21.4
35.3,22.2,24.6,28.3,14.1,16.6,11.1,14.1,23.7,20.2,20.8,25.1
30.6,23.8,21.4,28.6,16.5,16.2,12.2,14.8,18.7,23.3,30.1,34.1
23.6,30.2,21.8,26.2,16.3,14.0,13.7,15.1,19.8,25.3,30.6,20.4
20.1,24.9,22.6,15.9,15.3,13.9,14.6,16.3,22.9,27.7,17.2,23.3
21.8,24.6,22.6,19.9,14.5,13.6,12.8,18.1,14.4,27.7,18.4,24.2
27.0,22.9,24.9,22.3,14.0,12.5,12.7,15.6,14.4,22.8,20.0,23.9
31.9,26.6,31.9,17.1,14.2,12.2,16.4,16.1,18.3,22.8,19.4,22.1
40.1,26.7,24.4,24.1,18.3,11.1,14.5,14.0,20.2,21.4,26.9,22.0
42.5,26.9,28.6,23.1,15.5,13.4,16.6,12.4,16.8,27.8,31.3,28.1
26.1,29.7,19.6,21.7,15.8,14.3,12.3,12.9,17.8,16.2,27.3,20.9
30.0,30.2,26.5,24.6,15.9,15.0,13.1,12.5,19.3,18.9,23.2,22.2
26.7,30.6,28.7,22.6,16.2,14.4,13.9,14.5,19.2,27.2,16.6,19.6
24.7,34.1,29.7,28.8,14.5,12.9,12.9,16.4,13.5,19.5,13.8,27.1
25.3,33.4,24.5,24.4,15.9,12.8,15.4,16.2,15.6,17.4,17.2,33.6
29.4,20.0,26.6,20.5,16.3,12.4,15.7,17.1,15.1,22.6,18.9,26.0
31.3,26.9,19.5,18.8,19.8,14.4,14.7,14.9,19.3,19.4,19.3,26.5
34.0,32.2,22.8,17.9,20.2,11.8,18.5,13.1,24.0,20.8,20.9,40.3
39.1,32.8,31.2,18.6,20.2,9.8,17.5,11.9,15.9,17.6,21.3,36.5
35.3,,22.7,18.6,17.5,12.0,13.8,13.6,14.0,18.9,19.6,22.8
21.3,,24.5,20.6,15.1,14.8,12.1,15.3,16.9,26.3,22.0,21.3
19.4,,23.6,,14.7,,15.8,15.9,,20.9,,25.6
