Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
25.4,20.8,22.8,25.4,20.2,14.0,11.0,11.8,10.5,18.9,31.5,30.5
21.0,23.9,26.4,19.5,20.8,14.2,10.2,12.1,10.2,22.1,27.5,16.4
22.8,26.8,29.6,19.2,19.5,12.3,10.4,11.0,12.4,16.0,17.4,20.7
27.4,29.6,21.5,26.5,13.2,12.5,13.0,12.3,15.1,12.2,21.1,20.1
32.2,31.7,19.5,19.9,17.5,13.4,14.1,13.8,15.9,16.7,24.0,28.4
39.7,32.5,23.8,19.8,17.6,15.0,10.8,8.6,16.0,20.6,20.5,33.9
26.4,35.4,28.3,22.9,17.1,13.2,8.1,10.7,12.7,19.2,13.4,36.6
27.3,30.8,30.2,28.7,15.9,10.1,10.8,11.6,12.9,23.9,15.2,29.4
21.5,29.0,31.8,26.4,14.7,13.5,8.8,10.1,14.7,14.5,17.5,21.6
25.3,30.5,32.6,26.7,8.2,14.1,7.9,16.2,16.7,12.9,18.7,24.1
32.3,21.4,25.8,32.2,9.6,13.4,4.2,9.9,21.9,16.5,22.9,27.4
24.9,22.6,19.8,23.4,12.6,11.7,9.4,9.9,14.4,20.7,27.1,31.0
18.0,27.4,22.1,20.6,12.6,10.7,10.5,10.6,15.5,21.3,30.3,19.2
20.5,20.5,23.8,12.3,14.8,11.1,9.6,13.6,19.8,23.3,18.9,23.9
24.6,21.6,20.4,14.4,11.9,9.8,9.4,13.8,9.0,21.8,17.3,20.9
26.3,22.5,25.7,17.6,10.3,8.9,9.7,11.2,11.2,19.7,20.3,20.8
32.7,27.7,29.0,14.1,11.0,9.4,13.0,12.4,14.9,17.7,19.4,19.7
38.2,27.8,19.1,20.6,13.8,8.7,12.2,9.3,13.6,16.3,26.1,23.7
40.5,22.0,23.5,21.7,10.1,10.8,10.5,8.4,11.4,24.2,27.9,26.2
29.7,29.1,17.7,24.3,13.2,9.5,8.7,9.0,14.3,14.0,23.7,20.6
35.2,26.0,22.9,23.9,12.1,11.9,9.3,8.8,16.0,16.8,19.8,16.2
31.6,22.2,26.4,23.5,13.1,11.8,10.2,11.8,15.4,25.5,13.9,19.7
28.4,32.8,26.6,26.0,10.9,8.9,11.0,13.4,11.1,16.4,10.1,26.2
29.4,27.2,21.9,21.5,12.6,8.4,10.6,15.0,12.5,14.6,13.7,30.7
34.4,18.1,21.1,18.7,15.0,,10.2,15.0,11.6,19.5,16.6,31.8
33.5,26.0,15.0,15.5,16.3,12.3,9.3,11.2,17.2,16.6,19.7,32.1
33.5,30.0,19.8,16.5,15.4,11.0,13.8,10.3,22.6,17.2,20.7,37.0
36.7,25.3,27.7,20.2,15.4,13.4,14.7,9.9,11.6,17.3,19.4,35.9
33.9,,21.8,17.5,12.0,10.2,9.2,12.0,9.7,19.7,18.2,24.9
18.7,,21.1,20.2,11.9,9.4,9.2,11.7,14.2,24.9,20.2,23.5
18.0,,22.0,,11.7,,11.9,12.6,,22.8,,30.3
