Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
26.5,23.5,23.5,26.0,21.8,16.4,14.0,13.2,13.5,22.0,34.0,33.0
22.0,27.0,30.0,21.2,22.8,18.0,12.1,16.0,11.5,25.5,28.0,18.5
25.0,29.5,30.0,22.3,19.2,14.6,10.7,12.0,13.5,19.5,19.5,23.0
29.0,32.0,22.0,27.0,15.5,14.0,15.0,14.0,16.5,13.9,20.0,
34.5,34.0,21.5,21.8,18.3,15.0,15.5,16.8,17.5,22.0,26.0,32.02 days
42.5,35.0,26.5,22.0,18.0,15.8,13.0,10.0,18.5,23.0,22.0,36.2
27.0,37.5,30.5,26.2,17.2,16.5,11.0,11.5,13.8,23.0,14.5,38.0
27.0,33.0,32.0,30.6,17.5,12.0,12.2,14.0,14.7,25.0,16.5,30.8
22.0,33.0,33.8,29.1,16.5,15.2,12.2,12.2,16.0,15.0,19.0,25.0
29.0,33.0,34.0,30.2,10.0,14.5,11.0,18.0,18.0,15.0,20.1,27.0
33.0,23.0,25.5,32.5,11.0,13.4,7.2,10.1,24.0,18.2,23.0,29.0
24.0,24.0,21.0,28.0,13.8,15.0,11.0,12.0,16.0,22.0,30.0,32.0
18.5,28.0,22.5,26.0,13.5,12.0,13.5,13.5,16.5,22.0,32.0,18.0
22.0,22.5,24.0,15.0,15.9,12.0,10.8,15.5,21.5,26.0,20.5,23.7
25.0,22.0,22.5,17.8,14.0,11.0,13.5,16.0,10.0,24.0,20.0,24.7
32.0,24.5,25.0,19.8,11.5,10.5,14.0,12.6,13.5,22.7,22.0,24.0
35.0,28.5,31.0,17.0,13.0,11.0,14.7,14.0,16.6,18.0,22.5,22.0
40.0,27.5,20.0,21.8,15.0,12.0,13.5,10.5,16.5,17.0,28.5,25.0
42.8,24.5,23.4,24.5,12.0,12.0,10.5,,13.5,26.0,30.0,26.0
33.0,32.5,19.0,27.3,15.5,10.2,11.5,10.0,15.5,15.2,24.5,22.0
35.0,27.7,26.2,24.0,15.0,13.5,11.2,11.9,17.0,20.0,20.5,15.5
31.0,27.0,25.7,25.2,15.7,13.5,13.0,12.7,18.5,28.0,13.5,21.0
29.0,35.8,28.0,28.6,13.5,11.7,13.8,15.4,12.5,17.0,14.0,28.0
31.0,26.0,24.2,23.6,15.0,10.0,13.5,18.0,13.8,18.0,19.0,33.0
36.0,20.2,20.8,23.5,16.2,11.2,13.0,16.0,14.2,22.0,17.6,33.3
34.5,29.2,16.9,18.0,16.0,12.5,13.5,13.9,19.0,19.0,22.5,34.0
37.0,32.0,20.8,19.0,18.8,11.5,17.0,14.5,22.0,19.0,21.5,39.2
39.5,25.0,28.7,22.0,18.0,14.5,17.5,12.5,13.2,20.0,21.8,38.0
33.4,,24.2,20.0,14.0,13.5,13.5,13.9,12.3,23.0,22.5,26.5
19.5,,23.5,23.0,13.0,12.0,11.4,13.3,18.0,27.0,20.6,30.0
20.0,,22.7,,13.5,,13.0,15.5,,24.5,,31.8
