,Date,Measure,Distributor,MeasurementType
0,2015-01-01,26.2,AusNet,MaxTemp
1,2015-01-02,32.5,AusNet,MaxTemp
2,2015-01-03,38.9,AusNet,MaxTemp
3,2015-01-04,25.4,AusNet,MaxTemp
4,2015-01-05,27.3,AusNet,MaxTemp
5,2015-01-06,27.3,AusNet,MaxTemp
6,2015-01-07,35.2,AusNet,MaxTemp
7,2015-01-08,28.8,AusNet,MaxTemp
8,2015-01-09,18.5,AusNet,MaxTemp
9,2015-01-10,19.7,AusNet,MaxTemp
10,2015-01-11,22.6,AusNet,MaxTemp
11,2015-01-12,25.7,AusNet,MaxTemp
12,2015-01-13,22.5,AusNet,MaxTemp
13,2015-01-14,22.9,AusNet,MaxTemp
14,2015-01-15,20.1,AusNet,MaxTemp
15,2015-01-16,26.5,AusNet,MaxTemp
16,2015-01-17,23.7,AusNet,MaxTemp
17,2015-01-18,20.9,AusNet,MaxTemp
18,2015-01-19,22.9,AusNet,MaxTemp
19,2015-01-20,30.5,AusNet,MaxTemp
20,2015-01-21,30.8,AusNet,MaxTemp
21,2015-01-22,33.5,AusNet,MaxTemp
22,2015-01-23,29.0,AusNet,MaxTemp
23,2015-01-24,28.3,AusNet,MaxTemp
24,2015-01-25,22.3,AusNet,MaxTemp
25,2015-01-26,21.0,AusNet,MaxTemp
26,2015-01-27,18.1,AusNet,MaxTemp
27,2015-01-28,22.9,AusNet,MaxTemp
28,2015-01-29,20.3,AusNet,MaxTemp
29,2015-01-30,20.7,AusNet,MaxTemp
30,2015-01-31,22.2,AusNet,MaxTemp
31,2015-02-01,25.0,AusNet,MaxTemp
32,2015-02-02,25.3,AusNet,MaxTemp
33,2015-02-03,24.2,AusNet,MaxTemp
34,2015-02-04,22.1,AusNet,MaxTemp
35,2015-02-05,27.2,AusNet,MaxTemp
36,2015-02-06,30.5,AusNet,MaxTemp
37,2015-02-07,35.3,AusNet,MaxTemp
38,2015-02-08,27.0,AusNet,MaxTemp
39,2015-02-09,21.0,AusNet,MaxTemp
40,2015-02-10,32.8,AusNet,MaxTemp
41,2015-02-11,36.3,AusNet,MaxTemp
42,2015-02-12,27.2,AusNet,MaxTemp
43,2015-02-13,26.1,AusNet,MaxTemp
44,2015-02-14,24.4,AusNet,MaxTemp
45,2015-02-15,28.2,AusNet,MaxTemp
46,2015-02-16,26.3,AusNet,MaxTemp
47,2015-02-17,21.6,AusNet,MaxTemp
48,2015-02-18,20.4,AusNet,MaxTemp
49,2015-02-19,29.4,AusNet,MaxTemp
50,2015-02-20,30.9,AusNet,MaxTemp
51,2015-02-21,32.4,AusNet,MaxTemp
52,2015-02-22,36.6,AusNet,MaxTemp
53,2015-02-23,30.7,AusNet,MaxTemp
54,2015-02-24,24.2,AusNet,MaxTemp
55,2015-02-25,23.9,AusNet,MaxTemp
56,2015-02-26,24.7,AusNet,MaxTemp
57,2015-02-27,27.2,AusNet,MaxTemp
58,2015-02-28,26.4,AusNet,MaxTemp
59,2015-03-01,23.2,AusNet,MaxTemp
60,2015-03-02,24.0,AusNet,MaxTemp
61,2015-03-03,25.4,AusNet,MaxTemp
62,2015-03-04,23.5,AusNet,MaxTemp
63,2015-03-05,19.6,AusNet,MaxTemp
64,2015-03-06,21.8,AusNet,MaxTemp
65,2015-03-07,20.8,AusNet,MaxTemp
66,2015-03-08,25.5,AusNet,MaxTemp
67,2015-03-09,25.0,AusNet,MaxTemp
68,2015-03-10,23.9,AusNet,MaxTemp
69,2015-03-11,27.9,AusNet,MaxTemp
70,2015-03-12,21.0,AusNet,MaxTemp
71,2015-03-13,21.9,AusNet,MaxTemp
72,2015-03-14,28.9,AusNet,MaxTemp
73,2015-03-15,22.1,AusNet,MaxTemp
74,2015-03-16,22.4,AusNet,MaxTemp
75,2015-03-17,24.0,AusNet,MaxTemp
76,2015-03-18,26.5,AusNet,MaxTemp
77,2015-03-19,34.7,AusNet,MaxTemp
78,2015-03-20,20.7,AusNet,MaxTemp
79,2015-03-21,22.1,AusNet,MaxTemp
80,2015-03-22,28.6,AusNet,MaxTemp
81,2015-03-23,24.9,AusNet,MaxTemp
82,2015-03-24,18.7,AusNet,MaxTemp
83,2015-03-25,20.7,AusNet,MaxTemp
84,2015-03-26,19.6,AusNet,MaxTemp
85,2015-03-27,15.5,AusNet,MaxTemp
86,2015-03-28,18.6,AusNet,MaxTemp
87,2015-03-29,23.5,AusNet,MaxTemp
88,2015-03-30,25.4,AusNet,MaxTemp
89,2015-03-31,26.0,AusNet,MaxTemp
90,2015-04-01,29.1,AusNet,MaxTemp
91,2015-04-02,18.5,AusNet,MaxTemp
92,2015-04-03,20.6,AusNet,MaxTemp
93,2015-04-04,23.8,AusNet,MaxTemp
94,2015-04-05,22.3,AusNet,MaxTemp
95,2015-04-06,20.0,AusNet,MaxTemp
96,2015-04-07,14.1,AusNet,MaxTemp
97,2015-04-08,19.1,AusNet,MaxTemp
98,2015-04-09,19.5,AusNet,MaxTemp
99,2015-04-10,20.9,AusNet,MaxTemp
100,2015-04-11,22.7,AusNet,MaxTemp
101,2015-04-12,20.7,AusNet,MaxTemp
102,2015-04-13,20.4,AusNet,MaxTemp
103,2015-04-14,17.7,AusNet,MaxTemp
104,2015-04-15,25.1,AusNet,MaxTemp
105,2015-04-16,19.0,AusNet,MaxTemp
106,2015-04-17,17.9,AusNet,MaxTemp
107,2015-04-18,18.4,AusNet,MaxTemp
108,2015-04-19,16.1,AusNet,MaxTemp
109,2015-04-20,16.9,AusNet,MaxTemp
110,2015-04-21,17.7,AusNet,MaxTemp
111,2015-04-22,17.6,AusNet,MaxTemp
112,2015-04-23,18.3,AusNet,MaxTemp
113,2015-04-24,20.2,AusNet,MaxTemp
114,2015-04-25,15.2,AusNet,MaxTemp
115,2015-04-26,15.5,AusNet,MaxTemp
116,2015-04-27,16.3,AusNet,MaxTemp
117,2015-04-28,17.6,AusNet,MaxTemp
118,2015-04-29,17.8,AusNet,MaxTemp
119,2015-04-30,19.3,AusNet,MaxTemp
120,2015-05-01,21.1,AusNet,MaxTemp
121,2015-05-02,20.7,AusNet,MaxTemp
122,2015-05-03,20.0,AusNet,MaxTemp
123,2015-05-04,21.5,AusNet,MaxTemp
124,2015-05-05,16.1,AusNet,MaxTemp
125,2015-05-06,17.3,AusNet,MaxTemp
