SETTD,PROFILEAREA,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
01/07/2014,CITIPOWER,7281406.334,123249.207,110232.816,100374.045,93375.538,88392.168,84946.561,82860.969,81433.78,80923.858,81130.368,85185.259,91534.668,106331.196,126047.672,142874.945,160558.936,170166.816,172613.242,175633.825,176424.6,176250.239,175726.147,174899.741,175833.343,176691.048,177373.179,179496.848,178633.992,178034.307,177029.178,176617.638,174477.054,173745.791,176937.564,183767.82,193574.976,198101.595,200308.603,197809.918,194248.016,189396.834,184723.174,177785.104,167886.272,158441.99,150726.254,144377.076,134222.164,MRIM
02/07/2014,CITIPOWER,6620476.076,119792.978,107356.513,97475.293,90362.225,85585.394,82051.81,79927.038,78672.032,78072.428,78139.119,81602.973,87584.249,101885.659,119963.326,135240.855,152077.377,161783.391,163891.671,163483.668,161441.536,159504.996,158284.068,157024.154,152544.599,150732.018,148795.033,149253.285,148787.535,146746.793,145389.183,146651.173,147560.837,149432.431,155142.047,164097.842,174950.927,180255.23,183068.162,181008.133,178047.725,173402.528,169886.755,163728.368,155370.091,147493.444,141332.919,137103.324,128492.941,MRIM
03/07/2014,CITIPOWER,6962431.361,114772.975,102595.679,93659.059,86763.888,82599.125,79819.593,78148.272,77038.471,77002.5,78126.892,81607.02,88140.99,102634.761,121384.007,137968.739,156025.348,165921.547,168371.17,169293.862,167247.857,165224.868,162899.044,160934.677,159000.967,157543.625,155945.421,157003.19,155477.86,153951.385,153263.007,153118.664,155123.908,157502.368,165291.816,177497.647,192290.493,198941.898,201438.232,200133.181,197549.07,193595.973,189639.474,183996.615,174866.064,165176.974,156282.358,149932.506,139688.321,MRIM
04/07/2014,CITIPOWER,7200371.514,125476.673,112594.34,102466.144,94806.513,89594.198,86192.804,84162.644,82596.604,82633.098,83610.658,87187.617,93438.806,107730.343,126375.574,142833.455,161752.085,172703.114,177866.187,180437.891,177597.763,176832.852,177896.585,178518.16,179463.822,181146.018,180854.563,181391.271,174933.305,168619.446,164768.794,162689.029,162956.502,163926.107,169578.951,178570.143,189645.259,193254.007,192624.42,187924.767,182895.991,177803.875,172860.525,167034.891,160107.972,155693.935,152840.68,150687.882,142795.251,MRIM
05/07/2014,CITIPOWER,6255118.225,129425.541,116213.359,105555.22,97749.57,92174.893,87842.283,85068.316,83104.477,81127.648,80244.573,81146.946,83175.872,87954.721,93546.133,96645.313,106164.589,117189.744,127017.473,134961.534,139933.773,145600.706,146328.033,147111.068,147948.64,146136.858,143571.748,145785.906,143585.035,143154.549,142741.958,142638.737,141436.344,142945.069,149185.703,160159.189,171120.951,176285.007,174997.365,170370.778,165020.494,159659.725,155574.711,151675.871,146227.72,143702.859,143269.821,144118.94,138522.462,MRIM
06/07/2014,CITIPOWER,6071270.989,126776.145,114156.884,103356.725,95554.534,89863.418,85523.303,82532.577,80424.36,78706.364,77959.416,78159.352,79640.941,82565.092,86148.784,87157.419,94653.334,104041.623,112938.687,120689.123,125267.333,129122.477,131800.747,134753.001,137209.976,135589.173,132953.05,135562.184,133893.681,134054.919,134173.734,135346.317,137329.17,140515.959,148752.436,159720.824,172638.735,180021.086,181494.362,178345.06,175176.841,171441.485,167986.33,162832.951,153905.666,146475.261,142392.631,139701.326,131966.193,MRIM
07/07/2014,CITIPOWER,6734113.074,118863.547,106652.253,96734.52,88867.59,83811.724,80229.017,77941.312,75970.847,75503.586,75937.807,79116.508,84920.401,98140.012,116034.222,132346.685,150716.672,161861.521,166107.7,167854.416,165084.246,162490.018,159778.61,157662.143,154880.626,152911.212,150554.814,150175.335,147520.233,145348.098,144513.616,145854.738,150293.857,153346.092,160072.279,170822.114,183273.312,190461.072,194031.553,192757.381,189977.816,185602.572,181304.02,173635.087,163333.461,153874.76,145964.541,140465.796,130513.332,MRIM
08/07/2014,CITIPOWER,6783730.103,117224.314,105247.866,95714.538,88369.405,83579.721,80556.202,78440.771,77465.618,77510.4,78248.52,81765.587,88245.099,102338.318,120936.335,137452.546,156200.498,164616.914,166204.072,167032.612,167638.517,168400.959,165306.298,161190.693,158235.8,156390.181,153697.573,153495.997,151379.613,149530.565,148580.064,147876.171,150272.062,153766.826,160571.14,171728.844,182785.278,188561.824,191864.123,189228.37,186660.463,182980.056,177745.473,171125.117,161189.539,151823.803,144597.268,139684.226,130273.924,MRIM
09/07/2014,CITIPOWER,7268629.774,116099.654,103597.605,93690.99,86767.063,82305.917,79484.384,77434.796,75953.015,75588.654,76798.029,81818.688,89890.891,105920.184,124303.492,139394.703,156642.018,166614.701,170828.668,172605.526,168617.284,167452.099,167577.114,170912.063,174084.875,176904.257,176632.219,179986.369,178490.97,177264.599,176755.89,176808.565,178918.417,179816.124,183905.585,191446.792,200080.552,204560.977,206056.739,203102.709,200467.085,196499.132,191259.118,183871.345,173517.046,164045.593,155590.167,149252.132,139014.979,MRIM
10/07/2014,CITIPOWER,7311047.047,124055.384,111684.266,101599.765,93786.052,88832.858,85638.356,83747.239,82560.175,82312.258,83041.263,87313.368,95329.58,113019.496,132512.463,149949.86,167740.593,179491.458,182530.312,184551.777,182799.944,181807.852,180378.251,176251.498,175875.766,171091.391,167074.857,167902.469,166798.627,164446.616,164738.185,166610.42,167924.659,167969.604,176012.998,183631.529,193002.894,197771.918,199994.203,197845.893,194931.938,190683.106,186887.841,180402.803,171792.583,163353.993,155250.507,149425.924,138692.255,MRIM
