PROFILEAREA,SETTD,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
CITIPOWER,01/07/2011,14262.731,13168.178,15289.688,14106.066,13281.445,12617.537,11991.251,11546.393,11425.809,11496.414,12075.449,12912.002,15144.726,18063.199,20942.189,23246.051,24369.417,24748.117,24619.554,23966.935,23705.348,23122.512,22856.318,22249.776,21886.344,21617.494,21653.905,21358.125,21067.221,20676.391,20423.008,20390.019,20519.922,20902.156,21770.112,23007.268,23047.002,22764.856,21999.161,21478.229,20890.687,20292.441,19682.29,19090.153,18443.752,17687.45,17372.765,16309.628,MRIM
CITIPOWER,02/07/2011,15257.692,14053.127,15996.974,14680.615,13742.43,13073.535,12304.907,11766.83,11455.147,11384.332,11557.262,11786.665,12346.933,13053.425,13649.254,14899.207,16523.315,17478.275,18289.288,18387.747,18236.035,17754.805,17729.424,17369.487,16933.792,16510.384,16395.954,16229.919,15981.716,15915.329,16047.494,16041.352,16494.495,17466.147,19111.122,20597.159,21183.846,21081.836,20585.872,20070.808,19536.073,18982.531,18489.768,17885.993,17396.235,16906.089,16887.944,16028.029,MRIM
CITIPOWER,03/07/2011,14953.248,13873.889,15684.177,14406.202,13358.78,12658.315,11847.824,11247.173,10831.869,10652.973,10702.778,10735.658,11119.092,11586.372,11778.412,12349.027,13400.728,14476.526,15635.932,16391.346,17159.785,17730.453,18321.495,18541.352,18468.785,18456.047,18480.557,18096.56,17893.813,17863.762,17998.932,18326.665,18542.448,19084.189,20032.87,21326.29,21932.963,21996.737,21693.927,21313.279,20875.805,20471.027,19908.005,19082.663,18040.955,16965.835,16425.932,15258.266,MRIM
CITIPOWER,04/07/2011,14300.737,13330.3,15394.328,14303.189,13288.365,12545.702,11827.468,11440.407,11212.359,11243.883,11803.564,12563.971,14683.528,17386.287,20123.206,22440.746,23776.185,24278.636,24237.092,24156.727,24086.703,23477.525,22967.12,23000.006,23851.915,23852.047,23057.235,22503.17,22841.129,22844.829,23053.528,22760.088,22405.3,22695.552,23576.797,24853.604,25121.655,25218.796,24802.369,24105.131,23588.315,22988.686,22036.402,20753.698,19476.84,18017.023,17129.428,15746.248,MRIM
CITIPOWER,05/07/2011,14805.836,13756.116,15754.905,14599.743,13694.138,13297.869,12421.365,11937.236,11815.719,11896.469,12385.605,13258.977,15584.276,18462.46,21376.309,23966.655,25507.941,26163.502,26717.434,26438.556,25805.348,26419.146,26452.035,26573.414,26589.578,26672.28,26541.789,26547.788,26142.795,26071.693,26115.555,25759.188,25623.988,25883.08,26493.643,27236.981,27307.641,27322.38,26627.174,26122.196,25208.34,24548.631,23490.811,22214.973,20708.545,19164.082,18186.204,16659.465,MRIM
CITIPOWER,06/07/2011,15564.118,14340.48,16454.653,15215.953,14163.938,13441.808,12836.825,12313.852,12108.749,12204.494,12675.599,13564.873,15919.318,18725.825,21560.687,24132.395,25574.646,25485.48,25759.697,25802.626,25778.732,25729.412,25923.213,25834.533,25753.212,25004.715,24827.013,24973.454,25251.305,25198.305,24941.114,25420.517,25635.381,26004.086,26350.391,27147.539,27071.596,26958.821,26487.495,25904.21,25156.457,24466.214,23620.92,22601.14,21352.521,19830.474,18899.383,17406.759,MRIM
CITIPOWER,07/07/2011,16069.157,14814.97,16760.136,15586.726,14621.112,13896.163,13190.451,12780.971,12633.557,12637.139,13164.257,14152.164,16553.4,19524.846,22509.193,25087.185,26786.102,27645.288,27877.988,27667.572,27545.451,27062.027,27175.229,26988.64,27321.887,27000.946,27555.979,27383.137,27001.681,26851.748,26072.085,26084.627,25346.411,25766.515,26509.84,27778.135,27876.956,27966.234,27416.572,26956.672,26211.231,25586.417,24710.514,23492.04,22265.465,20827.524,19672.331,17923.412,MRIM
CITIPOWER,08/07/2011,16660.47,15324.827,17192.425,15893.786,14939.287,14265.305,13551.277,13091.759,12853.129,12779.526,13339.274,14229.836,16532.426,19266.643,22227.526,24886.45,26547.094,27386.56,28099.468,28126.435,28305.041,27979.822,27889.292,27765.267,27440.079,27279.831,27328.025,26975.349,26905.788,26523.151,26227.026,25858.49,25623.676,26082.504,26617.147,27431.254,27303.728,26951.22,26159.536,25514.745,24724.627,24236.999,23475.606,22632.488,21878.118,20968.206,20599.791,19152.251,MRIM
CITIPOWER,09/07/2011,18072.916,16602.096,18282.026,16817.494,15727.104,14813.671,13912.498,13269.623,12952.141,12675.043,12857.392,13040.24,13783.631,14517.147,14977.271,16367.507,17905.217,18999.591,19818.686,20182.481,20198.512,19853.931,19584.926,19330.561,19447.581,19308.576,19460.393,19264.342,18837.513,18522.661,18444.711,18682.155,19006.64,19956.515,21668.031,23697.689,24528.429,24430.31,23947.834,23318.85,22625.911,22263.889,21661.368,20977.978,20687.649,20332.142,20223.986,19257.481,MRIM
CITIPOWER,10/07/2011,18119.072,16871.729,18406.894,17001.267,15910.494,15135.696,14262.077,13619.557,13145.483,12824.683,12916.838,12917.356,13367.83,13920.936,14005.711,14980.937,16251.74,17214.144,18215.539,19293.639,20152.266,19953.478,20604.764,20952.663,20929.01,20926.313,20851.076,21002.73,21505.289,21566.929,21793.842,21927.672,22128.491,22737.28,23760.726,25710.722,26582.65,26786.002,26379.372,26004.025,25561.826,25179.494,24587.026,23529.27,22196.653,20967.336,20019.609,18348.24,MRIM
